Drug,Medium,Donor,run,Day,class,relative_abundance,relative_abundance_log10
5-fluorouracil,MGAM,MB001,run3,day 4,c__Saprospiria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Solibacteres,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Sphingobacteriia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Spirochaetia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Spirulinales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Synechococcales[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Synergistia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermobaculum[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermoleophilia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermomicrobia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermoplasmata,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermoprotei,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Thermotogae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Tissierellia,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__Verrucomicrobiae,0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__cyanobacterium IHB-347[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__cyanobacterium IHB-410[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__cyanobacterium PCC 7702[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__marine bacterium SIMO-4474[class],2.1816436503261558e-5,-4.641752183222668
5-fluorouracil,MGAM,MB001,run3,day 4,c__marine bacterium SIMO-4476[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__marine bacterium SIMO-4483[class],0,-6
5-fluorouracil,MGAM,MB001,run3,day 4,c__phototrophic bacterium[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Acidimicrobiia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Acidithiobacillia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Acidobacteriia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Actinobacteria,4.2537805474615564e-5,-4.361133465379542
5-fluorouracil,MGAM,MB002,run3,day 4,c__Alphaproteobacteria,2.1268902737307782e-5,-4.6523011815682285
5-fluorouracil,MGAM,MB002,run3,day 4,c__Aminomonas aminovorus[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Anaerolineae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Aquificae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Bacilli,0.001467554288874237,-2.833109994035491
5-fluorouracil,MGAM,MB002,run3,day 4,c__Bacteroidetes Order II. Incertae sedis[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Bacteroidia,0.16247314801029414,-0.7892157317290895
5-fluorouracil,MGAM,MB002,run3,day 4,c__Balneolia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Betaproteobacteria,8.507561094923113e-5,-4.065119886068096
5-fluorouracil,MGAM,MB002,run3,day 4,c__Blastocatellia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Caldilineae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Caldisericia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Calditrichae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chitinophagia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chlamydiia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chlorobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chloroflexia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chroococcales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chroococcidiopsidales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Clostridia,0.3474062573111853,-0.45916111341545884
5-fluorouracil,MGAM,MB002,run3,day 4,c__Coriobacteriia,0.04151689814322479,-1.3817646408991182
5-fluorouracil,MGAM,MB002,run3,day 4,c__Cytophagia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Dehalococcoidia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Deinococci,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Deltaproteobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Dictyoglomia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Epsilonproteobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Erysipelotrichia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Fibrobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Flavobacteriia,2.1268902737307782e-5,-4.6523011815682285
5-fluorouracil,MGAM,MB002,run3,day 4,c__Fusobacteriia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Gammaproteobacteria,0.2948295297445605,-0.5304275472271912
5-fluorouracil,MGAM,MB002,run3,day 4,c__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Gloeobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Halobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Holophagae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Ignavibacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Ktedonobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Lentisphaeria,2.1268902737307782e-5,-4.6523011815682285
5-fluorouracil,MGAM,MB002,run3,day 4,c__Methanobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Methanomicrobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Methylacidiphilae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Mollicutes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Negativicutes,0.14907373928579024,-0.8265959415115988
5-fluorouracil,MGAM,MB002,run3,day 4,c__Nitriliruptoria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Nitrospira,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Nostocales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Opitutae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Oscillatoriales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Planctomycetia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Pleurocapsales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Rubrobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Saprospiria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Solibacteres,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Sphingobacteriia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Spirochaetia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Spirulinales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Synechococcales[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Synergistia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermobaculum[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermoleophilia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermomicrobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermoplasmata,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermoprotei,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Thermotogae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__Tissierellia,2.1268902737307782e-5,-4.6523011815682285
5-fluorouracil,MGAM,MB002,run3,day 4,c__Verrucomicrobiae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__cyanobacterium IHB-347[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__cyanobacterium IHB-410[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__cyanobacterium PCC 7702[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__marine bacterium SIMO-4474[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__marine bacterium SIMO-4476[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__marine bacterium SIMO-4483[class],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,c__phototrophic bacterium[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Acidimicrobiia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Acidithiobacillia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Acidobacteriia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Actinobacteria,0.0023960221791079588,-2.6203279475184376
5-fluorouracil,MGAM,MB003,run3,day 4,c__Alphaproteobacteria,1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB003,run3,day 4,c__Aminomonas aminovorus[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Anaerolineae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Aquificae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Bacilli,4.1347285391686014e-4,-3.382503908491706
5-fluorouracil,MGAM,MB003,run3,day 4,c__Bacteroidetes Order II. Incertae sedis[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Bacteroidia,0.3619477751979899,-0.441352888646403
5-fluorouracil,MGAM,MB003,run3,day 4,c__Balneolia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Betaproteobacteria,0.0016326876795691402,-2.7868309661660797
5-fluorouracil,MGAM,MB003,run3,day 4,c__Blastocatellia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Caldilineae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Caldisericia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Calditrichae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chitinophagia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chlamydiia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chlorobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chloroflexia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chroococcales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chroococcidiopsidales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Clostridia,0.16792298803049097,-0.7748872602339616
5-fluorouracil,MGAM,MB003,run3,day 4,c__Coriobacteriia,0.06407769048906417,-1.1932863720671474
5-fluorouracil,MGAM,MB003,run3,day 4,c__Cytophagia,1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB003,run3,day 4,c__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Dehalococcoidia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Deinococci,2.120373609830052e-5,-4.653573943100803
5-fluorouracil,MGAM,MB003,run3,day 4,c__Deltaproteobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Dictyoglomia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Epsilonproteobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Erysipelotrichia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Fibrobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Flavobacteriia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Fusobacteriia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Gammaproteobacteria,0.35393276295283227,-0.4510780065495277
5-fluorouracil,MGAM,MB003,run3,day 4,c__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Gloeobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Halobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Holophagae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Ignavibacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Ktedonobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Lentisphaeria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Methanobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Methanomicrobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Methylacidiphilae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Mollicutes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Negativicutes,0.043351038452975416,-1.3629904767791212
5-fluorouracil,MGAM,MB003,run3,day 4,c__Nitriliruptoria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Nitrospira,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Nostocales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Opitutae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Oscillatoriales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Planctomycetia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Pleurocapsales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Rubrobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Saprospiria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Solibacteres,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Sphingobacteriia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Spirochaetia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Spirulinales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Synechococcales[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Synergistia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermobaculum[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermoleophilia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermomicrobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermoplasmata,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermoprotei,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Thermotogae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Tissierellia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__Verrucomicrobiae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__cyanobacterium IHB-347[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__cyanobacterium IHB-410[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__cyanobacterium PCC 7702[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__marine bacterium SIMO-4474[class],1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB003,run3,day 4,c__marine bacterium SIMO-4476[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__marine bacterium SIMO-4483[class],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,c__phototrophic bacterium[class],1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB005,run3,day 4,c__Acidimicrobiia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Acidithiobacillia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Acidobacteriia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Actinobacteria,1.5738117721120555e-5,-4.776293382023332
5-fluorouracil,MGAM,MB005,run3,day 4,c__Alphaproteobacteria,4.721435316336166e-5,-4.316823655294066
5-fluorouracil,MGAM,MB005,run3,day 4,c__Aminomonas aminovorus[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Anaerolineae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Aquificae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Bacilli,0.0062165564998426185,-2.206380259542805
5-fluorouracil,MGAM,MB005,run3,day 4,c__Bacteroidetes Order II. Incertae sedis[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Bacteroidia,0.09304375196726472,-1.0313081174921992
5-fluorouracil,MGAM,MB005,run3,day 4,c__Balneolia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Betaproteobacteria,3.147623544224111e-5,-4.488434318760172
5-fluorouracil,MGAM,MB005,run3,day 4,c__Blastocatellia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Caldilineae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Caldisericia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Calditrichae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chitinophagia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chlamydiia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chlorobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chloroflexia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chroococcales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chroococcidiopsidales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Clostridia,0.4289109222536985,-0.3676318817230847
5-fluorouracil,MGAM,MB005,run3,day 4,c__Coriobacteriia,0.10338369531004092,-0.9855437478412237
5-fluorouracil,MGAM,MB005,run3,day 4,c__Cytophagia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Dehalococcoidia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Deinococci,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Deltaproteobacteria,1.5738117721120555e-5,-4.776293382023332
5-fluorouracil,MGAM,MB005,run3,day 4,c__Dictyoglomia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Epsilonproteobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Erysipelotrichia,1.5738117721120555e-5,-4.776293382023332
5-fluorouracil,MGAM,MB005,run3,day 4,c__Fibrobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Flavobacteriia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Fusobacteriia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Gammaproteobacteria,0.3149039974819012,-0.5018204471386506
5-fluorouracil,MGAM,MB005,run3,day 4,c__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Gloeobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Halobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Holophagae,1.5738117721120555e-5,-4.776293382023332
5-fluorouracil,MGAM,MB005,run3,day 4,c__Ignavibacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Ktedonobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Lentisphaeria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Methanobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Methanomicrobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Methylacidiphilae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Mollicutes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Negativicutes,0.046726471514006926,-1.3304277185952857
5-fluorouracil,MGAM,MB005,run3,day 4,c__Nitriliruptoria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Nitrospira,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Nostocales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Opitutae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Oscillatoriales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Planctomycetia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Pleurocapsales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Rubrobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Saprospiria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Solibacteres,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Sphingobacteriia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Spirochaetia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Spirulinales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Synechococcales[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Synergistia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermobaculum[class],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermoleophilia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermomicrobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermoplasmata,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermoprotei,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,c__Thermotogae,0,-6
