Drug,Medium,Donor,run,Day,phylum,relative_abundance,relative_abundance_log10
5-fluorouracil,MGAM,MB002,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Tenericutes,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB002,run3,day 4,p__phototrophic bacterium[phylum],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Acidobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Actinobacteria,0.06696139859843304,-1.1741689982733583
5-fluorouracil,MGAM,MB003,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Bacteroidetes,0.3620325901423831,-0.44125113295658286
5-fluorouracil,MGAM,MB003,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Cyanobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Deinococcus-Thermus,2.120373609830052e-5,-4.653573943100803
5-fluorouracil,MGAM,MB003,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Firmicutes,0.2126310655937576,-0.6723712418807407
5-fluorouracil,MGAM,MB003,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Lentisphaerae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Proteobacteria,0.35584109920167933,-0.44874267241456167
5-fluorouracil,MGAM,MB003,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Tenericutes,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__marine bacterium SIMO-4474[phylum],1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB003,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB003,run3,day 4,p__phototrophic bacterium[phylum],1.060186804915026e-5,-4.9354720781764545
5-fluorouracil,MGAM,MB005,run3,day 4,p__Acidobacteria,1.5738117721120555e-5,-4.776293382023332
5-fluorouracil,MGAM,MB005,run3,day 4,p__Actinobacteria,0.10465848284545168,-0.9802214155730545
5-fluorouracil,MGAM,MB005,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Bacteroidetes,0.09394082467736858,-1.0271410085596644
5-fluorouracil,MGAM,MB005,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Cyanobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Deinococcus-Thermus,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Firmicutes,0.4823890462700661,-0.31660166209216634
5-fluorouracil,MGAM,MB005,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Lentisphaerae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Proteobacteria,0.31534466477809253,-0.5012131351031772
5-fluorouracil,MGAM,MB005,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Tenericutes,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB005,run3,day 4,p__phototrophic bacterium[phylum],0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Acidobacteria,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Actinobacteria,0.17811306745863387,-0.7493017785805993
5-fluorouracil,MGAM,MB006,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Bacteroidetes,0.31155865507000424,-0.5064587856428807
5-fluorouracil,MGAM,MB006,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Cyanobacteria,2.6516758591429783e-5,-4.560402726278305
5-fluorouracil,MGAM,MB006,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Deinococcus-Thermus,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Firmicutes,0.40709853627492576,-0.39029939232302147
5-fluorouracil,MGAM,MB006,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Lentisphaerae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Proteobacteria,0.10101559185405176,-0.995607288010834
5-fluorouracil,MGAM,MB006,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Tenericutes,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB006,run3,day 4,p__phototrophic bacterium[phylum],0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Acidobacteria,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Actinobacteria,0.033442957757054255,-1.4756823337945615
5-fluorouracil,MGAM,MB007,run3,day 4,p__Aquificae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Bacteroidetes,0.22612665375200852,-0.6456463233799313
5-fluorouracil,MGAM,MB007,run3,day 4,p__Balneolaeota,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Caldiserica,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Calditrichaeota,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Chlamydiae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Chlorobi,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Chloroflexi,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Chrysiogenetes,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Crenarchaeota,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Cyanobacteria,1.5017044345331952e-5,-4.795417622018339
5-fluorouracil,MGAM,MB007,run3,day 4,p__Deferribacteres,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Deinococcus-Thermus,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Dictyoglomi,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Elusimicrobia,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Euryarchaeota,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Fibrobacteres,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Firmicutes,0.48156657806610503,-0.31734275999975187
5-fluorouracil,MGAM,MB007,run3,day 4,p__Fusobacteria,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Gemmatimonadetes,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Ignavibacteriae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Lentisphaerae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Nitrospirae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Planctomycetes,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Proteobacteria,0.2477361805649412,-0.6060088093107014
5-fluorouracil,MGAM,MB007,run3,day 4,p__Spirochaetes,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Synergistetes,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Tenericutes,1.5017044345331952e-5,-4.795417622018339
5-fluorouracil,MGAM,MB007,run3,day 4,p__Thermobaculum[phylum],0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Thermodesulfobacteria,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Thermotogae,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__Verrucomicrobia,0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
5-fluorouracil,MGAM,MB007,run3,day 4,p__phototrophic bacterium[phylum],0,-6
acarbose,MGAM,MB001,run1,day 4,p__Acidobacteria,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Actinobacteria,3.04760356772791e-4,-3.514618823537479
acarbose,MGAM,MB001,run1,day 4,p__Aquificae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Bacteroidetes,0.5007415835348138,-0.3003854742935134
acarbose,MGAM,MB001,run1,day 4,p__Balneolaeota,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Caldiserica,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Calditrichaeota,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Chlamydiae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Chlorobi,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Chloroflexi,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Chrysiogenetes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Crenarchaeota,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Cyanobacteria,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Deferribacteres,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Deinococcus-Thermus,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Dictyoglomi,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Elusimicrobia,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Euryarchaeota,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Fibrobacteres,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Firmicutes,0.14467990003860298,-0.8395887982199081
acarbose,MGAM,MB001,run1,day 4,p__Fusobacteria,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Gemmatimonadetes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Ignavibacteriae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Lentisphaerae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Nitrospirae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Planctomycetes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Proteobacteria,0.34362746093988095,-0.4639108730210886
acarbose,MGAM,MB001,run1,day 4,p__Spirochaetes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Synergistetes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Tenericutes,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Thermobaculum[phylum],0,-6
acarbose,MGAM,MB001,run1,day 4,p__Thermodesulfobacteria,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Thermotogae,0,-6
acarbose,MGAM,MB001,run1,day 4,p__Verrucomicrobia,0,-6
acarbose,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
acarbose,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
acarbose,MGAM,MB001,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
acarbose,MGAM,MB001,run1,day 4,p__phototrophic bacterium[phylum],0,-6
acarbose,MGAM,MB002,run1,day 4,p__Acidobacteria,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Actinobacteria,0.006058007754249925,-2.217598491697925
acarbose,MGAM,MB002,run1,day 4,p__Aquificae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Bacteroidetes,0.4897852669251417,-0.3099933961860793
acarbose,MGAM,MB002,run1,day 4,p__Balneolaeota,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Caldiserica,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Calditrichaeota,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Chlamydiae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Chlorobi,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Chloroflexi,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Chrysiogenetes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Crenarchaeota,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Cyanobacteria,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Deferribacteres,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Deinococcus-Thermus,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Dictyoglomi,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Elusimicrobia,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Euryarchaeota,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Fibrobacteres,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Firmicutes,0.24871383835371308,-0.6042983039021468
acarbose,MGAM,MB002,run1,day 4,p__Fusobacteria,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Gemmatimonadetes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Ignavibacteriae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Lentisphaerae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Nitrospirae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Planctomycetes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Proteobacteria,0.2485274381151208,-0.6046239095067633
acarbose,MGAM,MB002,run1,day 4,p__Spirochaetes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Synergistetes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Tenericutes,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Thermobaculum[phylum],0,-6
acarbose,MGAM,MB002,run1,day 4,p__Thermodesulfobacteria,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Thermotogae,0,-6
acarbose,MGAM,MB002,run1,day 4,p__Verrucomicrobia,0,-6
acarbose,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4474[phylum],0,-6
acarbose,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4476[phylum],0,-6
acarbose,MGAM,MB002,run1,day 4,p__marine bacterium SIMO-4483[phylum],0,-6
acarbose,MGAM,MB002,run1,day 4,p__phototrophic bacterium[phylum],0,-6
acarbose,MGAM,MB003,run1,day 4,p__Acidobacteria,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Actinobacteria,0.012878573450325502,-1.890098519836254
acarbose,MGAM,MB003,run1,day 4,p__Aquificae,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Bacteroidetes,0.5175252382300217,-0.28606762687655946
acarbose,MGAM,MB003,run1,day 4,p__Balneolaeota,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Caldiserica,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Calditrichaeota,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Chlamydiae,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Chlorobi,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Chloroflexi,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Chrysiogenetes,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Crenarchaeota,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Cyanobacteria,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Deferribacteres,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Deinococcus-Thermus,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Dictyoglomi,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Elusimicrobia,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Euryarchaeota,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Fibrobacteres,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Firmicutes,0.1973299367864893,-0.7048048223889225
acarbose,MGAM,MB003,run1,day 4,p__Fusobacteria,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Gemmatimonadetes,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Ignavibacteriae,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Lentisphaerae,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Nitrospirae,0,-6
acarbose,MGAM,MB003,run1,day 4,p__Planctomycetes,0,-6
